family,name,split,variant,lam,epochs,seed,overall,flank,adh,fa
stage3_fusion,t3gated_ctrl_e17_s43,val,ctrl,0.0,17,43,38.7916259765625,36.190433502197266,21.102310180664062,43.39348602294922
stage3_fusion,t3gated_ctrl_e17_s43,test,ctrl,0.0,17,43,19.9996337890625,17.51799964904785,29.57259178161621,27.3394718170166
stage3_fusion,t3gated_ctrl_e17_s44,val,ctrl,0.0,17,44,48.123634338378906,44.36880111694336,13.36527156829834,55.291351318359375
stage3_fusion,t3gated_ctrl_e17_s44,test,ctrl,0.0,17,44,23.945995330810547,22.525737762451172,38.789894104003906,24.953943252563477
stage3_fusion,t3gated_ctrl_e34_s42,val,ctrl,0.0,34,42,36.59788513183594,33.976280212402344,22.473424911499023,41.02507400512695
stage3_fusion,t3gated_ctrl_e34_s42,test,ctrl,0.0,34,42,19.709625244140625,16.85417938232422,37.31941604614258,25.906822204589844
stage3_fusion,t3gated_ctrl_e34_s43,val,ctrl,0.0,34,43,37.99415969848633,34.021297454833984,21.058940887451172,44.44890594482422
stage3_fusion,t3gated_ctrl_e34_s43,test,ctrl,0.0,34,43,19.623153686523438,17.343355178833008,33.858856201171875,24.511022567749023
stage3_fusion,t3gated_ctrl_e34_s44,val,ctrl,0.0,34,44,46.00852966308594,41.92650604248047,16.979204177856445,53.30241394042969
stage3_fusion,t3gated_ctrl_e34_s44,test,ctrl,0.0,34,44,22.341991424560547,20.940805435180664,37.376033782958984,23.203622817993164
stage3_fusion,t3gated_taylor_ceil_l0.01_tslope_e34_s42,val,ceil-T,0.01,34,42,36.577335357666016,33.9829216003418,21.988073348999023,40.993412017822266
stage3_fusion,t3gated_taylor_ceil_l0.01_tslope_e34_s42,test,ceil-T,0.01,34,42,19.417621612548828,16.67243194580078,37.06321334838867,25.13152313232422
stage3_fusion,t3gated_taylor_ceil_l0.01_tslope_e34_s43,val,ceil-T,0.01,34,43,38.0732536315918,34.005924224853516,21.036075592041016,44.66435623168945
stage3_fusion,t3gated_taylor_ceil_l0.01_tslope_e34_s43,test,ceil-T,0.01,34,43,19.610034942626953,17.353723526000977,34.021339416503906,24.33770179748535
stage3_fusion,t3gated_taylor_ceil_l0.01_tslope_e34_s44,val,ceil-T,0.01,34,44,46.03589630126953,41.8658561706543,16.965373992919922,53.45377731323242
stage3_fusion,t3gated_taylor_ceil_l0.01_tslope_e34_s44,test,ceil-T,0.01,34,44,22.25189971923828,20.83224868774414,37.343936920166016,23.172666549682617
stage3_fusion,t3gated_taylor_ceil_l0.02_tslope_e34_s42,val,ceil-T,0.02,34,42,36.53657531738281,34.17204666137695,23.562925338745117,40.5429573059082
stage3_fusion,t3gated_taylor_ceil_l0.02_tslope_e34_s42,test,ceil-T,0.02,34,42,20.126541137695312,17.11034393310547,37.374717712402344,27.133872985839844
stage3_fusion,t3gated_taylor_ceil_l0.02_tslope_e34_s43,val,ceil-T,0.02,34,43,38.061378479003906,33.936737060546875,21.202388763427734,44.7215576171875
stage3_fusion,t3gated_taylor_ceil_l0.02_tslope_e34_s43,test,ceil-T,0.02,34,43,19.60993194580078,17.351369857788086,33.98411560058594,24.359861373901367
stage3_fusion,t3gated_taylor_ceil_l0.02_tslope_e34_s44,val,ceil-T,0.02,34,44,45.93012237548828,41.79670715332031,17.15797233581543,53.28041458129883
stage3_fusion,t3gated_taylor_ceil_l0.02_tslope_e34_s44,test,ceil-T,0.02,34,44,22.281591415405273,20.875795364379883,37.36708068847656,23.145381927490234
stage3_fusion,t3gated_taylor_ceil_l0.1_tslope_e34_s42,val,ceil-T,0.1,34,42,35.590789794921875,34.1004753112793,26.923629760742188,38.14383316040039
stage3_fusion,t3gated_taylor_ceil_l0.1_tslope_e34_s42,test,ceil-T,0.1,34,42,21.777122497558594,17.44709587097168,40.26805877685547,33.974422454833984
stage3_fusion,t3gated_taylor_ceil_l0.1_tslope_e34_s43,val,ceil-T,0.1,34,43,38.30255889892578,33.98120880126953,21.02383041381836,45.25849151611328
stage3_fusion,t3gated_taylor_ceil_l0.1_tslope_e34_s43,test,ceil-T,0.1,34,43,19.459142684936523,17.28244972229004,33.82156753540039,23.8632755279541
stage3_fusion,t3gated_taylor_ceil_l0.1_tslope_e34_s44,val,ceil-T,0.1,34,44,46.1821174621582,41.886226654052734,16.963024139404297,53.78240203857422
stage3_fusion,t3gated_taylor_ceil_l0.1_tslope_e34_s44,test,ceil-T,0.1,34,44,21.84215545654297,20.385456085205078,37.28315734863281,22.802248001098633
stage3_fusion,t3gated_taylor_ceil_l0.2_tslope_e34_s42,val,ceil-T,0.2,34,42,35.61145782470703,34.03052520751953,27.478349685668945,38.25934600830078
stage3_fusion,t3gated_taylor_ceil_l0.2_tslope_e34_s42,test,ceil-T,0.2,34,42,21.85561180114746,17.34914779663086,41.32763671875,34.47230529785156
stage3_fusion,t3gated_taylor_ceil_l0.2_tslope_e34_s43,val,ceil-T,0.2,34,43,38.60043716430664,34.00477981567383,21.522478103637695,45.924076080322266
stage3_fusion,t3gated_taylor_ceil_l0.2_tslope_e34_s43,test,ceil-T,0.2,34,43,19.322471618652344,17.203022003173828,33.63690948486328,23.498374938964844
stage3_fusion,t3gated_taylor_ceil_l0.2_tslope_e34_s44,val,ceil-T,0.2,34,44,46.649620056152344,41.74357604980469,15.860299110412598,55.18257522583008
stage3_fusion,t3gated_taylor_ceil_l0.2_tslope_e34_s44,test,ceil-T,0.2,34,44,21.18057632446289,19.756567001342773,36.31914138793945,22.10411834716797
stage3_fusion,t3gated_taylor_ceil_l0.5_e17_s42,val,ceil,0.5,17,42,36.9027214050293,33.568359375,20.49077033996582,42.44520568847656
stage3_fusion,t3gated_taylor_ceil_l0.5_e17_s42,test,ceil,0.5,17,42,18.542757034301758,16.24909019470215,38.08359909057617,21.681318283081055
stage3_fusion,t3gated_taylor_ceil_l0.5_e17_s43,val,ceil,0.5,17,43,41.07894515991211,36.232818603515625,18.214338302612305,49.07808303833008
stage3_fusion,t3gated_taylor_ceil_l0.5_e17_s43,test,ceil,0.5,17,43,19.935813903808594,17.142738342285156,34.03329086303711,27.063915252685547
stage3_fusion,t3gated_taylor_ceil_l0.5_e17_s44,val,ceil,0.5,17,44,52.14646530151367,46.46341323852539,20.29080581665039,61.81401824951172
stage3_fusion,t3gated_taylor_ceil_l0.5_e17_s44,test,ceil,0.5,17,44,23.49567413330078,19.821584701538086,38.37472152709961,34.12165832519531
stage3_fusion,t3gated_taylor_ceil_l0.5_e34_s42,val,ceil,0.5,34,42,35.74409866333008,32.61177062988281,26.28049659729004,40.611915588378906
stage3_fusion,t3gated_taylor_ceil_l0.5_e34_s42,test,ceil,0.5,34,42,19.87705421447754,16.712188720703125,40.780128479003906,26.27361488342285
stage3_fusion,t3gated_taylor_ceil_l0.5_e34_s43,val,ceil,0.5,34,43,40.09491729736328,35.24790954589844,19.17025375366211,47.98487091064453
stage3_fusion,t3gated_taylor_ceil_l0.5_e34_s43,test,ceil,0.5,34,43,19.984146118164062,17.71938705444336,32.41189193725586,25.42413330078125
stage3_fusion,t3gated_taylor_ceil_l0.5_e34_s44,val,ceil,0.5,34,44,46.84980773925781,41.372093200683594,15.587796211242676,56.19977569580078
stage3_fusion,t3gated_taylor_ceil_l0.5_e34_s44,test,ceil,0.5,34,44,20.10639762878418,17.44985008239746,34.95269012451172,26.3958797454834
stage3_fusion,t3gated_taylor_ceil_l0.5_tslope_e34_s42,val,ceil-T,0.5,34,42,34.3403205871582,32.83216857910156,29.075788497924805,36.7243537902832
stage3_fusion,t3gated_taylor_ceil_l0.5_tslope_e34_s42,test,ceil-T,0.5,34,42,22.758792877197266,17.761892318725586,41.49496841430664,37.72184753417969
stage3_fusion,t3gated_taylor_ceil_l0.5_tslope_e34_s43,val,ceil-T,0.5,34,43,38.769248962402344,32.82943344116211,27.86386489868164,47.59938430786133
stage3_fusion,t3gated_taylor_ceil_l0.5_tslope_e34_s43,test,ceil-T,0.5,34,43,19.764636993408203,17.497291564941406,32.71001052856445,25.039196014404297
stage3_fusion,t3gated_taylor_ceil_l0.5_tslope_e34_s44,val,ceil-T,0.5,34,44,48.45635986328125,45.771018981933594,20.563812255859375,53.75518798828125
stage3_fusion,t3gated_taylor_ceil_l0.5_tslope_e34_s44,test,ceil-T,0.5,34,44,20.54025650024414,19.02329444885254,39.031715393066406,20.717918395996094
